id,access_to,read_access,write_access,control_access,agent_webid,agent_class
1,index,Yes,No,No,,http://xmlns.com/foaf/0.1/Agent
2,products,Yes,No,No,,http://xmlns.com/foaf/0.1/Agent
3,index,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
4,products,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
5,product-P101,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
6,product-P102,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
7,product-P103,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
8,product-P104,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
9,product-P105,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
10,product-P106,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
11,product-P107,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
12,product-P108,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
13,product-P109,Yes,Yes,Yes,http://localhost:3000/manufacturer1/profile/card#me,
5,product-P101,Yes,No,No,http://localhost:3000/user1/profile/card#me,
6,product-P102,Yes,No,No,http://localhost:3000/user1/profile/card#me,
7,product-P103,Yes,No,No,http://localhost:3000/user1/profile/card#me,
